0.1593	-24.9259	-1.64396	0	
0.1600	-13.0206	-1.35626	0	
0.1607	-2.03534	-0.431538	0	
0.1613	1.03161	0.184945	0	
0.1620	4.37737	-1.35626	0	
0.1627	12.3236	-1.64396	0	
0.1633	18.1229	0.493187	0	
0.1640	22.6954	-1.35626	0	
0.1647	30.307	-4.08934	0	
0.1653	33.9874	-1.9522	0	
0.1660	33.9874	-0.73978	0	
0.1667	33.9874	-2.26044	0	
0.1673	30.307	-1.04802	0	
0.1680	26.6546	-1.35626	0	
0.1687	29.1081	-5.01407	0	
0.1693	26.6546	-5.91824	0	
0.1700	15.3626	-4.08934	0	
0.1707	8.02983	-3.7811	0	
0.1713	2.5372	-3.18517	0	
0.1720	-9.64695	-1.35626	0	
0.1727	-17.8998	-1.35626	0	
0.1733	-20.0467	-1.35626	0	
0.1740	-26.4315	-0.431538	0	
0.1747	-28.8851	-0.431538	0	
0.1753	-26.4315	-1.04802	0	
0.1760	-30.7253	2.01385	0	
0.1767	-36.5246	2.91802	0	
0.1773	-34.9911	-0.73978	0	
0.1780	-33.1509	-1.04802	0	
0.1787	-32.2309	2.32209	0	
0.1793	-26.4315	2.63033	0	
0.1800	-21.5523	1.39736	0	
0.1807	-17.5931	1.39736	0	
0.1813	-9.34026	0.184945	0	
0.1820	-1.11525	-1.9522	0	
0.1827	3.45729	-0.73978	0	
0.1833	9.56331	2.32209	0	
0.1840	17.2028	2.32209	0	
0.1847	21.162	-0.431538	0	
0.1853	23.3088	-1.64396	0	
0.1860	26.6546	0.184945	0	
0.1867	28.4948	-0.123297	0	
0.1873	25.1211	-1.64396	0	
0.1880	23.6155	-1.35626	0	
0.1887	25.1211	-0.431538	0	
0.1893	22.3887	-0.123297	0	
0.1900	16.2827	1.39736	0	
0.1907	11.0968	2.32209	0	
0.1913	2.8439	2.32209	0	
0.1920	-8.44805	2.01385	0	
0.1927	-15.4463	0.493187	0	
0.1933	-17.8998	-1.35626	0	
0.1940	-22.1657	-0.431538	0	
0.1947	-29.8052	1.08912	0	
0.1953	-36.5246	1.39736	0	
0.1960	-36.5246	1.39736	0	
0.1967	-32.5376	-1.04802	0	
0.1973	-32.5376	-2.26044	0	
0.1980	-34.071	-0.123297	0	
0.1987	-32.8442	2.32209	0	
0.1993	-29.1918	1.7056	0	
0.2000	-20.3255	-0.73978	0	
0.2007	-9.64695	-2.56868	0	
0.2013	-1.72864	-1.04802	0	
0.2020	8.33653	1.7056	0	
0.2027	20.2419	0.184945	0	
0.2033	21.4686	-1.35626	0	
0.2040	17.5095	0.493187	0	
0.2047	21.7753	1.39736	0	
0.2053	31.2271	0.184945	0	
0.2060	37.6398	0.493187	0	
0.2067	37.3331	-0.123297	0	
0.2073	31.2271	-1.35626	0	
0.2080	28.4948	-1.35626	0	
0.2087	30.9204	-0.431538	0	
0.2093	25.7345	-0.73978	0	
0.2100	13.8292	-2.26044	0	
0.2107	5.91085	-3.18517	0	
0.2113	2.8439	-2.26044	0	
0.2120	-1.42195	-1.35626	0	
0.2127	-9.34026	-2.26044	0	
0.2133	-18.5132	-2.26044	0	
0.2140	-23.0858	-0.73978	0	
0.2147	-23.6992	-0.123297	0	
0.2153	-28.2717	-1.64396	0	
0.2160	-35.2978	-2.26044	0	
0.2167	-36.5246	-0.431538	0	
0.2173	-31.9242	1.08912	0	
0.2180	-26.7382	-0.73978	0	
0.2187	-24.9259	-2.26044	0	
0.2193	-24.3125	-0.73978	0	
0.2200	-17.5931	-0.73978	0	
0.2207	-6.30119	-2.26044	0	
0.2213	0.41822	-2.56868	0	
0.2220	2.5372	-2.56868	0	
0.2227	9.25661	-4.08934	0	
0.2233	17.5095	-4.70582	0	
0.2240	23.9222	-5.01407	0	
0.2247	31.2271	-4.08934	0	
0.2253	36.4131	-2.26044	0	
0.2260	35.2142	-3.18517	0	
0.2267	33.6807	-4.70582	0	
0.2273	33.374	-2.87692	0	
0.2280	29.1081	-2.26044	0	
0.2287	23.3088	-5.32231	0	
0.2293	20.8553	-5.61	0	
0.2300	16.5894	-4.39758	0	
0.2307	10.1767	-4.39758	0	
0.2313	6.52424	-2.26044	0	
0.2320	1.645	-0.73978	0	
0.2327	-9.06144	-3.18517	0	
0.2333	-17.8998	-2.56868	0	
0.2340	-22.1657	-1.35626	0	
0.2347	-27.3516	-2.87692	0	
0.2353	-31.032	-0.431538	0	
0.2360	-30.7253	2.91802	0	
0.2367	-29.8052	-0.431538	0	
0.2373	-27.6583	-1.04802	0	
0.2380	-25.5393	3.22626	0	
0.2387	-26.4315	2.01385	0	
0.2393	-24.9259	-0.73978	0	
0.2400	-18.2065	2.91802	0	
0.2407	-9.95365	4.74692	0	
0.2413	-2.95542	3.53451	0	
0.2420	2.5372	5.36341	0	
0.2427	8.33653	5.67165	0	
0.2433	18.4296	2.01385	0	
0.2440	29.4148	1.7056	0	
0.2447	32.1472	3.53451	0	
0.2453	31.2271	2.32209	0	
0.2460	32.7606	2.32209	0	
0.2467	30.9204	4.15099	0	
0.2473	25.7345	4.15099	0	
0.2480	24.5356	1.7056	0	
0.2487	23.3088	1.39736	0	
0.2493	18.7363	1.7056	0	
0.2500	16.2827	0.780879	0	
0.2507	13.8292	1.39736	0	
0.2513	5.60415	3.53451	0	
0.2520	-3.54093	3.53451	0	
0.2527	-10.2603	2.32209	0	
0.2533	-18.8199	2.32209	0	
0.2540	-27.965	3.22626	0	
0.2547	-31.9242	4.15099	0	
0.2553	-33.7643	5.05517	0	
0.2560	-36.2179	4.15099	0	
0.2567	-34.9911	3.22626	0	
0.2573	-29.4985	3.22626	0	
0.2580	-24.9259	3.84275	0	
0.2587	-23.6992	3.53451	0	
0.2593	-22.4724	2.32209	0	
0.2600	-18.5132	0.493187	0	
0.2607	-13.634	2.01385	0	
0.2613	-8.14136	4.15099	0	
0.2620	-1.11525	2.32209	0	
0.2627	5.91085	2.01385	0	
0.2633	12.937	5.05517	0	
0.2640	20.2419	3.53451	0	
0.2647	24.5356	0.184945	0	
0.2653	26.6546	1.39736	0	
0.2660	30.0282	2.32209	0	
0.2667	32.1472	-0.73978	0	
0.2673	30.307	-1.04802	0	
0.2680	29.1081	2.32209	0	
0.2687	27.268	2.63033	0	
0.2693	21.162	0.493187	0	
0.2700	14.7492	-0.73978	0	
0.2707	9.56331	-0.431538	0	
0.2713	1.03161	-0.431538	0	
0.2720	-5.99449	-0.123297	0	
0.2727	-11.4871	0.493187	0	
0.2733	-22.1657	0.184945	0	
0.2740	-31.9242	1.08912	0	
0.2747	-32.5376	3.84275	0	
0.2753	-33.1509	3.22626	0	
0.2760	-36.8313	-0.431538	0	
0.2767	-36.5246	0.780879	0	
0.2773	-36.2179	4.15099	0	
0.2780	-38.6436	4.15099	0	
0.2787	-35.2978	2.63033	0	
0.2793	-24.3125	1.39736	0	
0.2800	-16.0597	0.780879	0	
0.2807	-13.0206	1.7056	0	
0.2813	-7.22127	1.7056	0	
0.2820	5.29746	-0.431538	0	
0.2827	19.0151	-2.26044	0	
0.2833	27.8814	-3.7811	0	
0.2840	33.0673	-4.08934	0	
0.2847	35.7997	-2.26044	0	
0.2853	36.1064	-0.431538	0	
0.2860	38.5599	1.39736	0	
0.2867	39.48	2.01385	0	
0.2873	33.9874	-0.431538	0	
0.2880	29.1081	-4.08934	0	
0.2887	27.5747	-5.61	0	
0.2893	25.7345	-5.91824	0	
0.2900	23.6155	-5.61	0	
0.2907	19.0151	-5.01407	0	
0.2913	9.25661	-5.01407	0	
0.2920	1.645	-6.22648	0	
0.2927	-1.72864	-5.91824	0	
0.2933	-8.44805	-4.39758	0	
0.2940	-16.3664	-4.39758	0	
0.2947	-22.4724	-4.70582	0	
0.2953	-28.2717	-2.26044	0	
0.2960	-32.8442	0.493187	0	
0.2967	-33.7643	0.493187	0	
0.2973	-33.4576	0.780879	0	
0.2980	-33.7643	1.08912	0	
0.2987	-31.9242	-0.123297	0	
0.2993	-26.4315	0.184945	0	
0.3000	-17.2864	1.39736	0	
0.3007	-9.06144	0.493187	0	
0.3013	-2.95542	1.39736	0	
0.3020	2.8439	3.53451	0	
0.3027	9.87	4.15099	0	
0.3033	17.8162	3.22626	0	
0.3040	26.9613	1.39736	0	
0.3047	32.4539	-0.73978	0	
0.3053	33.0673	-1.35626	0	
0.3060	36.4131	-1.35626	0	
0.3067	39.7867	-1.35626	0	
0.3073	34.2941	-0.431538	0	
0.3080	26.6546	-0.431538	0	
0.3087	26.6546	-1.9522	0	
0.3093	24.5356	-2.26044	0	
0.3100	15.3626	-1.35626	0	
0.3107	8.94992	-0.73978	0	
0.3113	5.91085	-1.35626	0	
0.3120	-1.72864	-4.08934	0	
0.3127	-11.4871	-4.39758	0	
0.3133	-18.2065	-2.56868	0	
0.3140	-24.3125	-3.18517	0	
0.3147	-29.1918	-4.08934	0	
0.3153	-31.9242	0.184945	0	
0.3160	-33.1509	0.493187	0	
0.3167	-34.071	-3.7811	0	
0.3173	-35.6045	-2.56868	0	
0.3180	-36.5246	1.08912	0	
0.3187	-32.5376	0.493187	0	
0.3193	-25.2326	-0.431538	0	
0.3200	-18.2065	0.493187	0	
0.3207	-11.7938	0.184945	0	
0.3213	-5.3811	2.01385	0	
0.3220	1.645	3.22626	0	
0.3227	10.4834	0.493187	0	
0.3233	18.4296	-1.04802	0	
0.3240	23.0021	0.780879	0	
0.3247	26.3479	-0.123297	0	
0.3253	26.6546	-1.64396	0	
0.3260	26.3479	-0.431538	0	
0.3267	31.5338	-1.9522	0	
0.3273	36.7198	-4.08934	0	
0.3280	36.4131	-2.56868	0	
0.3287	35.2142	-2.26044	0	
0.3293	33.9874	-3.47286	0	
0.3300	24.5356	-1.35626	0	
0.3307	11.0968	-1.35626	0	
0.3313	3.15059	-4.08934	0	
0.3320	-2.64873	-2.87692	0	
0.3327	-13.0206	0.780879	0	
0.3333	-25.2326	0.780879	0	
0.3340	-33.1509	0.184945	0	
0.3347	-34.3777	-0.431538	0	
0.3353	-35.6045	-0.73978	0	
0.3360	-41.0971	1.08912	0	
0.3367	-43.8295	2.32209	0	
0.3373	-41.0971	-0.431538	0	
0.3380	-37.7235	-0.431538	0	
0.3387	-32.5376	2.91802	0	
0.3393	-24.3125	2.63033	0	
0.3400	-20.9389	1.7056	0	
0.3407	-19.4333	2.32209	0	
0.3413	-11.7938	1.7056	0	
0.3420	-0.19517	2.63033	0	
0.3427	9.87	5.05517	0	
0.3433	16.8961	3.22626	0	
0.3440	21.4686	-0.431538	0	
0.3447	26.9613	0.493187	0	
0.3453	34.2941	0.780879	0	
0.3460	39.1733	-0.73978	0	
0.3467	41.3202	1.39736	0	
0.3473	38.5599	2.32209	0	
0.3480	29.4148	0.493187	0	
0.3487	22.082	1.08912	0	
0.3493	19.9352	2.91802	0	
0.3500	15.3626	1.39736	0	
0.3507	8.33653	2.01385	0	
0.3513	3.45729	5.05517	0	
0.3520	-2.64873	4.15099	0	
0.3527	-9.64695	1.08912	0	
0.3533	-14.2474	1.08912	0	
0.3540	-19.1266	2.32209	0	
0.3547	-23.6992	3.22626	0	
0.3553	-28.5784	4.15099	0	
0.3560	-34.6844	4.15099	0	
0.3567	-35.6045	2.32209	0	
0.3573	-31.6175	0.780879	0	
0.3580	-28.2717	0.780879	0	
0.3587	-24.3125	2.32209	0	
0.3593	-18.2065	2.63033	0	
0.3600	-16.6731	0.184945	0	
0.3607	-13.9407	-0.73978	0	
0.3613	-3.54093	0.493187	0	
0.3620	6.52424	-0.431538	0	
0.3627	14.1359	-1.35626	0	
0.3633	22.6954	0.184945	0	
0.3640	27.5747	1.39736	0	
0.3647	28.4948	2.01385	0	
0.3653	33.9874	2.32209	0	
0.3660	40.4001	-0.431538	0	
0.3667	40.4001	-5.01407	0	
0.3673	36.7198	-5.32231	0	
0.3680	34.2941	-2.87692	0	
0.3687	33.9874	-3.18517	0	
0.3693	28.4948	-4.39758	0	
0.3700	14.1359	-2.26044	0	
0.3707	2.5372	0.493187	0	
0.3713	1.03161	-1.04802	0	
0.3720	-3.26212	-1.04802	0	
0.3727	-15.753	2.01385	0	
0.3733	-23.6992	1.08912	0	
0.3740	-26.1248	-1.9522	0	
0.3747	-27.965	0.493187	0	
0.3753	-28.2717	3.53451	0	
0.3760	-31.032	1.39736	0	
0.3767	-35.2978	-1.04802	0	
0.3773	-35.6045	0.780879	0	
0.3780	-33.4576	3.22626	0	
0.3787	-31.6175	2.91802	0	
0.3793	-24.6192	1.7056	0	
0.3800	-13.634	2.32209	0	
0.3807	-6.30119	3.22626	0	
0.3813	-3.26212	2.01385	0	
0.3820	0.41822	1.08912	0	
0.3827	8.33653	2.32209	0	
0.3833	16.8961	2.32209	0	
0.3840	23.0021	0.184945	0	
0.3847	28.1881	-1.04802	0	
0.3853	33.0673	-1.35626	0	
0.3860	38.5599	-1.04802	0	
0.3867	43.1325	0.184945	0	
0.3873	39.7867	0.493187	0	
0.3880	31.8405	0.780879	0	
0.3887	26.9613	0.493187	0	
0.3893	21.7753	-2.87692	0	
0.3900	12.0169	-5.61	0	
0.3907	7.72314	-4.08934	0	
0.3913	7.72314	-4.08934	0	
0.3920	1.9517	-6.53473	0	
0.3927	-6.30119	-4.39758	0	
0.3933	-11.7938	-1.35626	0	
0.3940	-19.1266	-2.26044	0	
0.3947	-25.5393	-2.26044	0	
0.3953	-28.5784	-0.123297	0	
0.3960	-32.8442	0.493187	0	
0.3967	-36.5246	-0.431538	0	
0.3973	-34.6844	-2.26044	0	
0.3980	-30.1119	-4.08934	0	
0.3987	-26.7382	-3.7811	0	
0.3993	-24.6192	-1.64396	0	
0.4000	-24.6192	-1.35626	0	
0.4007	-21.5523	-1.04802	0	
0.4013	-10.2603	0.493187	0	
0.4020	0.724915	0.780879	0	
0.4027	6.52424	-0.431538	0	
0.4033	15.0559	-1.9522	0	
0.4040	25.7345	-3.47286	0	
0.4047	28.4948	-3.18517	0	
0.4053	28.4948	-1.9522	0	
0.4060	34.2941	-2.26044	0	
0.4067	37.3331	-3.47286	0	
0.4073	33.6807	-2.87692	0	
0.4080	33.9874	-2.26044	0	
0.4087	37.9465	-3.18517	0	
0.4093	36.4131	-5.01407	0	
0.4100	31.2271	-4.08934	0	
0.4107	26.3479	-1.64396	0	
0.4113	19.0151	-0.73978	0	
0.4120	10.1767	-1.35626	0	
0.4127	-0.501865	-1.9522	0	
0.4133	-15.4463	-1.04802	0	
0.4140	-28.8851	1.39736	0	
0.4147	-31.9242	2.32209	0	
0.4153	-32.2309	0.493187	0	
0.4160	-38.3369	-1.35626	0	
0.4167	-48.402	-1.9522	0	
0.4173	-54.8148	-2.87692	0	
0.4180	-55.7348	-2.26044	0	
0.4187	-53.6159	-0.123297	0	
0.4193	-46.2831	-0.431538	0	
0.4200	-31.6175	-1.35626	0	
0.4207	-19.1266	-0.123297	0	
0.4213	-12.4072	1.08912	0	
0.4220	-2.64873	-0.431538	0	
0.4227	8.33653	-1.9522	0	
0.4233	12.3236	-1.35626	0	
0.4240	12.937	-1.04802	0	
0.4247	18.7363	-1.64396	0	
0.4253	26.3479	-1.9522	0	
0.4260	30.0282	-1.9522	0	
0.4267	30.0282	-4.08934	0	
0.4273	28.8014	-6.22648	0	
0.4280	27.5747	-5.01407	0	
0.4287	25.7345	-2.26044	0	
0.4293	21.162	-2.56868	0	
0.4300	14.7492	-4.08934	0	
0.4307	8.33653	-3.47286	0	
0.4313	2.8439	-1.64396	0	
0.4320	-2.95542	-2.26044	0	
0.4327	-8.75475	-3.47286	0	
0.4333	-13.0206	-2.87692	0	
0.4340	-18.5132	-2.26044	0	
0.4347	-25.5393	-2.26044	0	
0.4353	-26.4315	-1.35626	0	
0.4360	-20.9389	-1.9522	0	
0.4367	-20.9389	-3.18517	0	
0.4373	-26.4315	-2.87692	0	
0.4380	-25.5393	-1.35626	0	
0.4387	-20.0467	-0.123297	0	
0.4393	-18.2065	1.39736	0	
0.4400	-16.3664	2.32209	0	
0.4407	-8.75475	1.39736	0	
0.4413	1.03161	0.493187	0	
0.4420	8.33653	2.63033	0	
0.4427	14.4425	4.15099	0	
0.4433	22.082	2.32209	0	
0.4440	29.4148	1.08912	0	
0.4447	33.9874	2.32209	0	
0.4453	34.6008	2.63033	0	
0.4460	34.6008	1.7056	0	
0.4467	34.9075	0.780879	0	
0.4473	33.374	-0.123297	0	
0.4480	29.4148	-0.431538	0	
0.4487	26.6546	-0.431538	0	
0.4493	26.6546	-1.64396	0	
0.4500	21.7753	-0.431538	0	
0.4507	10.1767	1.39736	0	
0.4513	-0.80856	-1.64396	0	
0.4520	-6.30119	-3.18517	0	
0.4527	-11.7938	0.493187	0	
0.4533	-19.1266	3.22626	0	
0.4540	-24.0059	2.63033	0	
0.4547	-23.6992	2.63033	0	
0.4553	-24.6192	2.32209	0	
0.4560	-31.9242	1.39736	0	
0.4567	-37.4168	1.39736	0	
0.4573	-33.7643	2.32209	0	
0.4580	-28.8851	2.32209	0	
0.4587	-28.2717	2.32209	0	
0.4593	-23.6992	3.22626	0	
0.4600	-13.3273	3.84275	0	
0.4607	-3.84763	1.7056	0	
0.4613	4.37737	-1.35626	0	
0.4620	13.2436	-1.04802	0	
0.4627	19.9352	-0.431538	0	
0.4633	27.268	-1.35626	0	
0.4640	33.374	-1.35626	0	
0.4647	30.307	-1.35626	0	
0.4653	24.5356	-1.35626	0	
0.4660	26.9613	-0.123297	0	
0.4667	33.0673	-0.431538	0	
0.4673	33.0673	-3.18517	0	
0.4680	28.4948	-1.35626	0	
0.4687	23.9222	1.7056	0	
0.4693	20.8553	0.184945	0	
0.4700	17.2028	-1.35626	0	
0.4707	8.94992	-0.431538	0	
0.4713	1.03161	-1.35626	0	
0.4720	-3.54093	-1.04802	0	
0.4727	-9.34026	2.01385	0	
0.4733	-17.2864	2.32209	0	
0.4740	-24.9259	0.493187	0	
0.4747	-32.2309	0.780879	0	
0.4753	-37.4168	2.01385	0	
0.4760	-38.3369	0.780879	0	
0.4767	-39.257	0.493187	0	
0.4773	-39.8703	2.63033	0	
0.4780	-35.6045	2.63033	0	
0.4787	-29.8052	-0.123297	0	
0.4793	-25.5393	-1.35626	0	
0.4800	-21.2456	-0.123297	0	
0.4807	-14.8329	2.01385	0	
0.4813	-6.30119	2.32209	0	
0.4820	3.15059	0.493187	0	
0.4827	11.0968	-0.73978	0	
0.4833	19.0151	0.780879	0	
0.4840	28.8014	0.780879	0	
0.4847	34.6008	-1.9522	0	
0.4853	32.1472	-3.18517	0	
0.4860	28.8014	-5.01407	0	
0.4867	30.307	-6.84297	0	
0.4873	33.374	-4.39758	0	
0.4880	33.0673	-3.18517	0	
0.4887	29.4148	-4.70582	0	
0.4893	24.5356	-4.08934	0	
0.4900	19.6285	-2.56868	0	
0.4907	14.4425	-3.18517	0	
