0.4607	-2.00231	-2.82344	0	
0.4613	0.449498	-4.95542	0	
0.4620	3.18735	-7.37551	0	
0.4627	3.18735	-8.58556	0	
0.4633	4.1272	-8.58556	0	
0.4640	5.31224	-10.4294	0	
0.4647	3.8003	-12.5614	0	
0.4653	1.96144	-10.4294	0	
0.4660	0.735541	-7.66362	0	
0.4667	0.449498	-6.74168	0	
0.4673	1.34849	-6.45357	0	
0.4680	1.06245	-3.68776	0	
0.4687	-0.776405	3.28441	0	
0.4693	-1.06245	11.5242	0	
0.4700	-2.28835	15.212	0	
0.4707	-3.51425	15.212	0	
0.4713	-2.9013	14.2901	0	
0.4720	-3.84116	10.948	0	
0.4727	-5.96606	5.41639	0	
0.4733	-4.1272	-2.1896	0	
0.4740	-1.6754	-9.7956	0	
0.4747	-3.84116	-14.4053	0	
0.4753	-5.06706	-23.8552	0	
0.4760	-3.22821	-33.5931	0	
0.4767	-2.28835	-21.4351	0	
0.4773	-0.776405	3.63013	0	
0.4780	1.34849	6.33833	0	
0.4787	4.1272	-11.6395	0	
0.4793	5.92519	-18.6693	0	
0.4800	5.0262	-7.37551	0	
0.4807	2.28835	6.97216	0	
0.4813	1.96144	11.5242	0	
0.4820	4.1272	6.05022	0	
0.4827	5.92519	0.576212	0	
0.4833	3.51425	-0.345727	0	
0.4840	-1.38936	2.07436	0	
0.4847	-2.28835	13.08	0	
0.4853	1.06245	23.4518	0	
0.4860	2.57439	7.8941	0	
0.4867	1.06245	-25.699	0	
0.4873	-0.490361	-40.6229	0	
0.4880	0.449498	-31.1731	0	
0.4887	0.449498	-19.3031	0	
0.4893	-1.6754	-11.6395	0	
0.4900	-3.22821	-5.81974	0	
0.4907	-1.6754	-3.39965	0	
0.4913	-3.22821	-4.03348	0	
